satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
neutral or dissatisfied,Loyal Customer,63,Business travel,Eco,1895,4,5,2,3,3,1,4,4,3,4,3,3,4,5,0,13
neutral or dissatisfied,Disloyal Customer,33,Business travel,Business,1132,4,3,3,3,5,5,4,4,3,2,3,4,4,4,10,0
satisfied,Loyal Customer,10,Personal Travel,Eco,1048,3,4,3,3,4,3,5,2,3,4,5,4,2,3,0,2
satisfied,Loyal Customer,22,Business travel,Business,1813,5,1,3,2,5,5,5,4,4,4,4,4,4,4,52,56
neutral or dissatisfied,Loyal Customer,49,Business travel,Eco,4983,2,3,3,4,0,2,3,3,4,4,3,3,2,3,22,31
neutral or dissatisfied,Disloyal Customer,58,Business travel,Eco Plus,3381,2,2,3,5,1,4,2,2,4,3,3,3,3,4,37,36
satisfied,Loyal Customer,39,Business travel,Eco,836,4,2,3,3,3,4,4,3,1,5,4,4,4,5,0,0
satisfied,Loyal Customer,25,Personal Travel,Eco,608,4,4,2,3,3,3,4,4,3,1,1,4,5,4,0,0
satisfied,Loyal Customer,70,Business travel,Business,2360,5,4,4,1,3,2,5,4,5,5,5,4,5,2,0,6
neutral or dissatisfied,Disloyal Customer,23,Personal Travel,Eco,616,3,3,3,3,2,3,2,3,3,1,3,3,3,4,0,1
neutral or dissatisfied,Disloyal Customer,15,Personal Travel,Eco Plus,4500,4,3,4,5,2,2,2,1,3,3,3,3,2,3,0,5
satisfied,Loyal Customer,26,Business travel,Business,1064,3,2,4,2,3,4,4,3,4,5,3,5,3,5,23,14
satisfied,Loyal Customer,75,Personal Travel,Business,1522,4,4,4,3,5,5,5,4,5,4,4,5,5,3,0,0
neutral or dissatisfied,Loyal Customer,37,Personal Travel,Eco,637,4,2,3,4,1,2,2,2,3,2,4,2,3,4,0,0
satisfied,Loyal Customer,36,Personal Travel,Eco,1011,4,5,5,3,2,2,4,2,3,2,2,3,2,3,0,2
neutral or dissatisfied,Loyal Customer,30,Business travel,Eco,2914,2,4,3,2,3,5,4,4,2,3,4,3,4,3,0,3
satisfied,Loyal Customer,42,Personal Travel,Eco,1234,2,4,5,3,2,3,2,4,4,4,2,2,3,2,5,8
neutral or dissatisfied,Disloyal Customer,64,Personal Travel,Eco,1104,2,4,1,5,1,2,2,3,2,3,3,2,3,2,34,47
neutral or dissatisfied,Loyal Customer,54,Business travel,Eco,1493,4,3,4,3,2,4,4,3,4,1,4,2,2,3,50,44
neutral or dissatisfied,Loyal Customer,44,Business travel,Business,641,3,4,5,3,3,2,3,5,5,5,5,2,5,3,0,0
neutral or dissatisfied,Loyal Customer,54,Personal Travel,Eco Plus,1903,3,4,3,2,3,2,4,3,4,2,3,2,2,3,54,69
satisfied,Disloyal Customer,41,Business travel,Business,419,4,4,3,3,3,4,3,4,5,2,5,4,4,3,0,0
neutral or dissatisfied,Disloyal Customer,30,Personal Travel,Eco,307,2,1,1,4,5,2,2,3,1,2,2,2,4,2,53,57
satisfied,Disloyal Customer,41,Business travel,Business,1168,5,4,3,3,3,3,2,5,3,4,3,3,3,3,0,0
neutral or dissatisfied,Loyal Customer,37,Personal Travel,Eco,2552,3,5,3,1,3,3,4,4,3,2,3,3,3,4,0,9
satisfied,Disloyal Customer,54,Business travel,Business,4230,4,5,4,3,5,3,3,2,5,5,1,5,5,4,0,0
neutral or dissatisfied,Loyal Customer,46,Personal Travel,Eco,822,4,3,2,4,2,1,5,3,3,3,3,3,3,2,0,23
neutral or dissatisfied,Disloyal Customer,22,Personal Travel,Eco,1333,2,3,1,4,2,5,2,4,2,3,2,4,3,1,7,18
satisfied,Loyal Customer,22,Personal Travel,Eco,2168,3,2,2,4,3,4,4,2,3,2,4,2,3,4,0,17
satisfied,Loyal Customer,66,Business travel,Business,1464,5,3,3,2,4,5,4,4,5,5,3,4,5,3,0,14
satisfied,Disloyal Customer,20,Business travel,Eco,2015,2,3,1,3,3,4,3,1,2,0,3,2,4,3,0,7
neutral or dissatisfied,Loyal Customer,36,Business travel,Eco Plus,1535,4,3,4,4,4,2,3,3,5,5,3,5,5,4,0,10
satisfied,Loyal Customer,46,Business travel,Business,2055,3,4,4,4,5,3,4,3,3,4,4,4,4,4,28,27
satisfied,Loyal Customer,37,Business travel,Business,2086,5,4,5,4,2,5,5,5,4,4,5,4,3,4,0,4
satisfied,Loyal Customer,37,Personal Travel,Business,745,3,5,4,1,3,4,5,5,3,5,4,5,5,4,25,32
neutral or dissatisfied,Loyal Customer,43,Personal Travel,Eco,1491,3,2,3,3,2,5,1,3,4,3,4,3,3,3,0,13
satisfied,Loyal Customer,31,Personal Travel,Eco Plus,2031,4,3,2,3,2,4,4,3,3,4,4,4,4,3,15,18
satisfied,Loyal Customer,32,Business travel,Eco,827,3,4,2,4,3,4,2,4,2,3,3,3,3,4,30,35
neutral or dissatisfied,Loyal Customer,56,Business travel,Business,1580,5,3,3,3,4,5,5,5,3,5,3,4,4,5,0,6
satisfied,Loyal Customer,40,Business travel,Eco Plus,1911,3,2,2,4,3,5,5,3,1,5,4,3,4,4,0,4
neutral or dissatisfied,Loyal Customer,37,Personal Travel,Eco Plus,1382,4,3,3,4,1,3,4,3,2,4,2,5,3,4,0,9
satisfied,Loyal Customer,49,Business travel,Business,3301,5,3,3,3,4,5,5,3,5,5,4,5,4,3,3,10
neutral or dissatisfied,Loyal Customer,40,Business travel,Eco Plus,1942,4,5,4,5,2,4,5,3,3,3,4,4,5,5,0,0
satisfied,Loyal Customer,61,Business travel,Business,2175,5,5,5,3,5,4,5,4,4,4,4,4,5,4,0,0
neutral or dissatisfied,Loyal Customer,30,Personal Travel,Eco Plus,644,4,5,1,3,2,5,3,2,4,2,5,5,3,5,9,35
satisfied,Loyal Customer,8,Personal Travel,Eco,1382,3,4,3,3,3,3,3,4,3,2,3,5,4,2,0,0
neutral or dissatisfied,Disloyal Customer,53,Personal Travel,Eco,606,2,5,3,3,2,1,2,3,3,2,3,2,3,2,0,7
satisfied,Disloyal Customer,38,Business travel,Eco,1696,1,3,3,4,2,2,3,2,4,1,2,4,4,4,0,0
satisfied,Loyal Customer,56,Business travel,Business,1079,4,4,5,4,5,4,5,4,5,3,3,5,5,4,5,4
neutral or dissatisfied,Loyal Customer,50,Personal Travel,Eco,567,3,4,3,2,2,2,4,3,2,4,3,3,3,2,0,11
neutral or dissatisfied,Loyal Customer,54,Business travel,Eco Plus,900,3,2,4,4,4,5,4,4,5,5,3,3,4,5,0,3
satisfied,Loyal Customer,29,Business travel,Business,777,5,5,4,2,4,4,5,4,4,5,4,5,4,5,0,0
neutral or dissatisfied,Loyal Customer,18,Business travel,Business,988,4,2,5,2,5,4,5,5,5,3,4,5,4,5,17,13
satisfied,Loyal Customer,59,Business travel,Business,4983,3,3,5,3,5,4,4,3,4,5,4,4,4,5,0,5
neutral or dissatisfied,Loyal Customer,27,Personal Travel,Eco,348,3,1,3,5,2,4,3,3,4,3,4,4,3,4,3,11
neutral or dissatisfied,Disloyal Customer,75,Personal Travel,Eco,624,2,3,2,2,1,2,2,3,2,3,2,3,2,2,2,13
neutral or dissatisfied,Disloyal Customer,38,Business travel,Business,2016,5,4,3,2,5,4,5,4,4,4,2,4,5,3,0,0
neutral or dissatisfied,Loyal Customer,44,Business travel,Business,617,3,5,4,3,5,4,5,4,4,3,4,4,4,5,0,0
neutral or dissatisfied,Loyal Customer,30,Personal Travel,Eco,723,3,3,4,5,2,4,3,4,4,2,3,2,2,4,0,14
neutral or dissatisfied,Loyal Customer,44,Personal Travel,Eco,681,3,3,4,5,2,2,3,4,4,3,3,4,4,3,0,6
satisfied,Loyal Customer,46,Business travel,Eco,1083,3,3,3,3,4,4,4,2,2,2,4,3,5,3,0,0
neutral or dissatisfied,Loyal Customer,25,Business travel,Business,1170,4,4,3,4,4,3,3,4,4,5,3,4,4,3,30,38
satisfied,Loyal Customer,15,Personal Travel,Eco Plus,917,5,3,3,3,4,4,4,3,4,2,3,4,3,3,0,20
satisfied,Disloyal Customer,45,Business travel,Business,2800,5,3,2,3,5,2,3,4,4,4,3,4,3,2,35,40
satisfied,Disloyal Customer,69,Personal Travel,Eco,375,2,4,3,2,3,3,2,3,3,4,3,4,3,4,4,5
satisfied,Loyal Customer,43,Business travel,Business,3378,3,4,4,3,3,5,5,5,4,5,4,4,5,3,16,25
satisfied,Loyal Customer,41,Business travel,Business,733,5,4,5,5,5,5,2,3,3,4,3,4,5,5,7,19
neutral or dissatisfied,Disloyal Customer,49,Personal Travel,Eco Plus,383,2,3,3,3,3,2,3,2,3,3,3,2,1,2,55,77
satisfied,Loyal Customer,31,Business travel,Eco Plus,3123,5,4,3,3,5,5,5,3,2,3,4,3,5,3,2,14
neutral or dissatisfied,Disloyal Customer,43,Personal Travel,Eco Plus,510,3,5,2,3,3,2,4,2,2,4,3,2,3,3,0,8
satisfied,Loyal Customer,30,Business travel,Business,3084,4,3,4,3,4,5,5,4,4,5,5,4,4,5,0,8
satisfied,Loyal Customer,33,Personal Travel,Business,794,4,3,3,3,3,4,4,3,4,4,4,3,3,2,74,52
satisfied,Loyal Customer,21,Business travel,Business,1703,4,4,5,2,4,4,5,4,3,5,3,4,5,4,3,7
satisfied,Disloyal Customer,28,Personal Travel,Business,629,3,5,2,3,4,2,4,3,2,4,2,3,4,2,17,32
neutral or dissatisfied,Disloyal Customer,68,Personal Travel,Eco,613,4,4,2,0,2,2,3,4,3,2,2,3,4,1,0,0
satisfied,Loyal Customer,30,Personal Travel,Eco,140,4,2,3,3,3,2,3,2,4,2,3,4,3,3,0,12
neutral or dissatisfied,Loyal Customer,18,Business travel,Eco,744,3,4,4,3,5,3,5,4,5,3,2,5,4,4,0,8
satisfied,Loyal Customer,27,Personal Travel,Eco,1007,4,4,4,4,1,4,4,4,3,5,5,3,3,3,0,18
satisfied,Disloyal Customer,40,Business travel,Business,858,5,3,3,2,5,5,5,2,5,4,4,3,4,4,23,34
satisfied,Loyal Customer,18,Business travel,Eco,1022,4,2,2,2,3,4,1,2,3,2,3,3,3,3,78,71
satisfied,Loyal Customer,35,Business travel,Eco,1691,2,2,3,3,3,5,3,3,3,4,3,3,4,3,1,5
neutral or dissatisfied,Disloyal Customer,28,Personal Travel,Eco Plus,519,4,4,1,5,2,1,4,2,3,4,4,2,3,1,24,18
satisfied,Loyal Customer,54,Business travel,Business,2348,4,4,5,4,5,5,4,3,5,5,5,5,4,4,0,5
satisfied,Loyal Customer,59,Personal Travel,Business,435,5,2,5,2,3,4,4,3,4,3,4,5,4,4,0,0
satisfied,Disloyal Customer,29,Personal Travel,Business,604,4,3,4,3,3,1,3,5,4,5,4,3,3,3,0,0
satisfied,Loyal Customer,42,Personal Travel,Business,1201,4,3,5,1,5,3,4,5,4,3,4,4,5,3,0,0
satisfied,Loyal Customer,55,Business travel,Eco,1019,3,3,5,3,4,2,3,4,2,3,2,4,4,4,0,0
satisfied,Disloyal Customer,18,Personal Travel,Eco Plus,1283,2,5,3,2,2,4,3,4,3,3,2,3,3,3,0,0
neutral or dissatisfied,Loyal Customer,46,Personal Travel,Eco,3030,3,4,2,3,4,3,3,3,4,4,2,3,3,4,0,0
satisfied,Loyal Customer,13,Personal Travel,Eco Plus,1125,3,4,5,2,4,2,4,5,5,5,4,4,3,4,0,0
satisfied,Disloyal Customer,42,Business travel,Business,1306,4,1,3,3,1,3,2,5,4,3,4,4,5,4,0,20
neutral or dissatisfied,Loyal Customer,29,Business travel,Eco,595,3,4,3,3,2,2,3,4,3,3,4,2,4,3,0,0
satisfied,Loyal Customer,54,Business travel,Business,2038,3,3,4,3,4,5,3,5,5,5,5,5,4,5,0,0
satisfied,Disloyal Customer,58,Business travel,Business,2175,3,4,3,2,3,4,3,3,3,2,4,2,3,3,31,21
neutral or dissatisfied,Disloyal Customer,25,Personal Travel,Business,546,4,2,2,1,2,4,4,2,4,4,3,4,4,4,0,11
satisfied,Loyal Customer,43,Personal Travel,Eco,508,5,1,2,3,3,4,3,3,4,2,3,4,4,4,0,0
neutral or dissatisfied,Loyal Customer,49,Business travel,Eco,2407,2,1,3,2,2,4,3,2,2,1,1,1,3,1,367,364
satisfied,Loyal Customer,44,Business travel,Eco,795,3,5,2,2,3,5,4,2,3,5,5,2,3,5,0,0
satisfied,Disloyal Customer,27,Business travel,Business,3954,3,3,3,4,1,4,5,3,5,5,3,4,4,5,0,0
satisfied,Loyal Customer,38,Business travel,Business,3896,4,4,3,3,4,3,5,5,5,4,4,5,4,5,49,47
neutral or dissatisfied,Disloyal Customer,28,Personal Travel,Eco,2802,2,4,4,4,4,5,4,4,4,4,2,3,3,2,0,0
neutral or dissatisfied,Disloyal Customer,43,Business travel,Eco Plus,1678,3,3,2,3,4,3,2,3,3,4,2,3,3,1,44,47
neutral or dissatisfied,Loyal Customer,42,Business travel,Business,2764,4,3,3,3,2,5,3,4,5,5,4,4,4,5,0,0
satisfied,Loyal Customer,23,Personal Travel,Eco,573,4,4,5,4,5,5,2,2,3,2,3,2,4,2,5,8
satisfied,Loyal Customer,23,Personal Travel,Eco,1308,3,3,2,4,2,3,5,3,3,3,4,2,4,4,0,0
satisfied,Disloyal Customer,63,Personal Travel,Eco,2958,2,2,2,3,3,2,3,4,4,1,2,3,3,2,0,0
satisfied,Loyal Customer,25,Business travel,Business,1058,5,3,4,2,4,5,4,5,3,4,5,5,5,5,0,20
satisfied,Loyal Customer,46,Business travel,Eco,946,2,2,4,4,2,2,4,5,3,3,3,4,4,5,0,0
satisfied,Loyal Customer,61,Business travel,Eco,872,4,4,5,4,2,4,3,2,2,1,3,2,4,3,1,0
satisfied,Loyal Customer,47,Business travel,Business,4983,5,4,4,3,1,4,5,5,3,4,4,4,4,4,0,0
neutral or dissatisfied,Loyal Customer,35,Personal Travel,Eco,516,3,4,4,3,3,0,3,5,4,3,3,3,3,2,37,27
satisfied,Loyal Customer,39,Business travel,Business,1617,5,4,4,2,4,4,2,4,4,5,3,4,5,4,54,66
neutral or dissatisfied,Disloyal Customer,17,Personal Travel,Eco,3400,2,4,2,2,2,4,2,0,3,3,2,4,3,4,0,0
satisfied,Disloyal Customer,21,Business travel,Business,393,5,3,3,4,2,5,3,4,4,5,3,2,4,3,0,0
satisfied,Loyal Customer,57,Business travel,Business,3377,5,4,4,3,5,3,3,5,5,5,3,5,3,5,0,0
satisfied,Loyal Customer,54,Business travel,Business,2055,4,4,3,4,4,5,4,3,4,4,3,3,4,5,23,40
satisfied,Loyal Customer,47,Personal Travel,Eco,741,4,3,5,4,2,3,3,2,3,5,3,4,3,3,0,3
neutral or dissatisfied,Disloyal Customer,7,Personal Travel,Eco,1367,2,3,1,2,2,2,3,2,3,3,1,2,1,2,43,51
satisfied,Disloyal Customer,51,Business travel,Business,1623,5,4,4,5,4,4,4,3,3,5,4,1,3,4,0,0
neutral or dissatisfied,Loyal Customer,56,Personal Travel,Eco Plus,560,3,4,3,3,3,5,4,3,4,3,4,4,2,3,0,0
neutral or dissatisfied,Disloyal Customer,28,Business travel,Business,1145,4,2,1,3,3,3,2,1,2,4,3,2,2,3,72,93
satisfied,Loyal Customer,65,Personal Travel,Eco,1422,3,3,1,3,3,4,3,3,2,2,3,3,3,3,0,20
satisfied,Loyal Customer,53,Business travel,Business,1577,4,4,4,4,3,3,2,4,3,5,4,4,5,5,0,0
satisfied,Loyal Customer,22,Business travel,Business,2264,4,5,5,5,5,4,4,5,5,5,3,2,5,4,15,8
neutral or dissatisfied,Loyal Customer,30,Personal Travel,Eco,957,3,2,3,3,4,3,2,2,4,1,2,2,3,3,40,47
satisfied,Loyal Customer,44,Business travel,Business,1570,4,1,4,2,3,5,3,5,5,3,4,5,4,5,0,0
satisfied,Loyal Customer,66,Personal Travel,Eco,1756,2,4,1,3,4,2,2,3,4,3,3,3,5,2,0,7
satisfied,Disloyal Customer,47,Personal Travel,Eco,1217,1,4,1,4,3,3,3,3,4,2,3,2,2,2,0,9
satisfied,Loyal Customer,53,Business travel,Business,1141,5,4,3,5,4,4,4,4,4,5,4,4,5,4,4,0
neutral or dissatisfied,Disloyal Customer,28,Personal Travel,Eco Plus,2658,4,3,3,3,3,5,1,2,5,4,3,1,2,2,0,8
neutral or dissatisfied,Disloyal Customer,27,Personal Travel,Eco Plus,767,4,5,1,5,2,3,3,5,3,3,3,3,3,1,0,12
satisfied,Loyal Customer,47,Personal Travel,Eco Plus,729,3,2,1,3,3,2,4,4,4,3,4,4,3,5,0,1
neutral or dissatisfied,Loyal Customer,26,Business travel,Eco,674,3,3,3,3,2,3,5,4,4,2,4,3,4,4,0,0
satisfied,Loyal Customer,46,Personal Travel,Eco,582,3,3,3,3,4,3,4,5,3,1,3,4,4,2,0,9
neutral or dissatisfied,Disloyal Customer,21,Personal Travel,Business,1118,3,2,4,4,4,5,3,3,4,2,5,4,4,3,0,16
neutral or dissatisfied,Loyal Customer,26,Business travel,Eco,1017,3,1,5,3,2,3,2,3,3,3,2,1,2,3,58,61
neutral or dissatisfied,Disloyal Customer,42,Business travel,Eco,1489,3,4,3,3,3,5,3,3,3,2,4,3,3,1,0,3
satisfied,Loyal Customer,32,Business travel,Business,1717,4,3,5,5,4,3,5,5,2,4,3,4,4,4,0,0
neutral or dissatisfied,Loyal Customer,18,Business travel,Eco,1333,3,3,3,4,4,3,3,3,4,3,4,4,3,3,18,21
neutral or dissatisfied,Disloyal Customer,40,Personal Travel,Eco,371,2,3,1,3,3,2,3,2,4,3,1,2,3,3,3,0
satisfied,Loyal Customer,29,Business travel,Business,889,5,4,5,5,3,3,3,5,3,4,5,5,4,5,0,0
satisfied,Loyal Customer,24,Business travel,Eco,1559,5,2,1,3,3,3,3,2,4,4,4,3,4,4,43,32
satisfied,Loyal Customer,56,Business travel,Business,1203,4,2,4,2,4,5,5,4,5,5,4,4,5,4,11,3
neutral or dissatisfied,Loyal Customer,47,Business travel,Business,1803,3,1,5,4,2,3,5,3,2,4,4,3,4,4,67,57
neutral or dissatisfied,Disloyal Customer,44,Personal Travel,Eco,1057,2,5,2,5,1,1,4,3,2,3,2,3,3,3,0,0
satisfied,Loyal Customer,31,Business travel,Business,3543,3,5,3,3,3,5,5,4,5,4,5,4,5,4,38,58
satisfied,Loyal Customer,30,Personal Travel,Eco Plus,1458,4,4,2,4,3,2,3,3,3,3,4,3,4,4,0,29
satisfied,Loyal Customer,42,Personal Travel,Eco,671,3,4,4,3,2,2,3,3,2,2,5,3,3,4,14,27
neutral or dissatisfied,Loyal Customer,48,Business travel,Eco,2873,4,4,1,2,2,4,4,4,4,3,3,4,4,3,0,0
satisfied,Loyal Customer,32,Business travel,Business,4983,5,3,3,5,4,3,3,4,5,5,3,4,5,2,77,94
satisfied,Loyal Customer,32,Personal Travel,Eco Plus,478,4,4,5,3,2,3,4,5,3,2,3,4,3,4,19,14
neutral or dissatisfied,Disloyal Customer,41,Personal Travel,Eco,1162,0,2,1,2,1,3,3,4,2,2,1,3,2,2,81,95
neutral or dissatisfied,Loyal Customer,50,Personal Travel,Eco,1592,3,5,3,3,2,4,4,3,3,3,3,4,4,2,0,0
satisfied,Loyal Customer,65,Personal Travel,Eco,789,2,5,4,2,3,3,3,4,3,3,5,3,2,4,14,2
satisfied,Loyal Customer,42,Business travel,Business,4360,5,3,3,4,4,5,5,5,4,4,4,5,4,4,8,10
neutral or dissatisfied,Disloyal Customer,74,Personal Travel,Eco Plus,2253,2,2,5,3,1,3,3,3,4,3,3,3,2,2,0,0
satisfied,Loyal Customer,32,Business travel,Business,1079,4,3,4,2,4,4,4,4,4,4,3,5,5,3,0,0
satisfied,Disloyal Customer,31,Business travel,Business,1752,5,4,3,3,4,4,3,1,4,3,3,4,3,5,0,3
satisfied,Loyal Customer,36,Business travel,Eco,3549,2,4,4,2,4,3,4,4,2,4,1,2,3,2,0,1
neutral or dissatisfied,Loyal Customer,16,Personal Travel,Eco,4083,4,4,2,3,3,4,3,2,5,3,2,2,5,3,0,0
neutral or dissatisfied,Disloyal Customer,31,Business travel,Business,3260,3,3,3,2,3,4,4,3,5,4,5,2,4,4,6,18
neutral or dissatisfied,Disloyal Customer,36,Business travel,Business,2054,1,2,1,4,2,2,2,3,3,4,2,3,3,2,208,224
neutral or dissatisfied,Loyal Customer,55,Business travel,Business,552,5,1,4,3,4,3,5,5,3,5,4,4,5,3,0,12
neutral or dissatisfied,Disloyal Customer,19,Business travel,Business,1985,4,4,3,4,2,4,3,2,3,3,3,3,3,2,15,12
neutral or dissatisfied,Loyal Customer,50,Personal Travel,Eco Plus,456,3,5,3,5,2,4,5,3,4,5,4,2,4,4,0,6
satisfied,Loyal Customer,73,Personal Travel,Eco Plus,2571,4,2,3,3,4,4,4,4,3,3,3,5,4,4,0,0
satisfied,Loyal Customer,62,Business travel,Business,560,4,3,4,4,3,4,5,3,5,3,3,4,4,5,0,0
satisfied,Loyal Customer,34,Personal Travel,Business,624,4,2,2,4,5,2,4,2,5,3,4,5,5,4,31,17
satisfied,Loyal Customer,22,Personal Travel,Eco,4500,3,3,2,3,2,4,2,3,4,4,4,4,3,4,0,6
satisfied,Loyal Customer,41,Business travel,Business,1594,4,3,3,5,3,5,4,4,4,5,4,4,4,3,50,53
satisfied,Loyal Customer,52,Business travel,Eco Plus,784,4,3,4,2,5,3,4,3,4,3,4,2,4,3,17,44
satisfied,Disloyal Customer,26,Business travel,Business,1531,4,4,3,3,4,2,3,4,4,4,4,4,4,4,1,13
neutral or dissatisfied,Disloyal Customer,11,Personal Travel,Eco Plus,2977,2,3,4,1,4,3,3,3,3,3,3,3,1,4,0,0
neutral or dissatisfied,Disloyal Customer,29,Business travel,Business,1417,4,4,3,3,2,4,5,4,2,5,4,2,3,3,5,21
satisfied,Loyal Customer,50,Business travel,Business,2417,5,4,5,4,3,5,4,5,5,5,4,4,5,5,0,0
satisfied,Loyal Customer,40,Business travel,Business,2752,4,1,4,4,5,4,5,5,4,4,3,5,5,4,0,16
neutral or dissatisfied,Loyal Customer,56,Business travel,Eco,1514,2,3,4,3,2,4,3,3,4,5,3,4,2,3,0,4
satisfied,Loyal Customer,39,Business travel,Eco,4983,1,4,3,3,3,3,3,2,3,3,3,2,3,3,0,6
satisfied,Loyal Customer,57,Personal Travel,Business,715,4,3,5,3,3,5,5,5,5,4,4,4,4,4,0,5
neutral or dissatisfied,Loyal Customer,44,Business travel,Eco,667,2,4,4,4,1,3,4,3,4,4,5,3,3,4,17,0
satisfied,Loyal Customer,39,Business travel,Business,1633,3,3,3,4,5,5,4,3,5,4,4,4,3,3,0,7
neutral or dissatisfied,Disloyal Customer,18,Business travel,Business,1591,4,5,3,2,1,5,3,4,4,3,2,4,3,3,0,14
satisfied,Disloyal Customer,41,Business travel,Business,1119,3,3,5,5,2,3,3,5,2,3,2,3,3,4,0,6
satisfied,Disloyal Customer,34,Business travel,Business,2358,4,4,5,4,4,3,5,4,3,3,3,3,4,4,0,7
satisfied,Disloyal Customer,49,Business travel,Eco,3205,2,4,3,5,2,2,4,3,2,1,3,2,4,2,0,0
satisfied,Disloyal Customer,32,Business travel,Business,840,4,1,3,1,5,4,4,4,2,5,3,3,4,4,0,0
satisfied,Loyal Customer,52,Business travel,Eco Plus,953,4,4,2,4,3,4,4,4,5,4,4,4,3,1,0,6
satisfied,Loyal Customer,34,Personal Travel,Eco,4500,3,1,3,3,1,5,3,4,3,2,5,4,3,3,5,0
satisfied,Disloyal Customer,21,Business travel,Business,1922,2,4,3,3,4,3,3,3,2,3,4,3,4,3,0,4
satisfied,Loyal Customer,40,Business travel,Business,4983,3,4,4,4,3,4,5,4,3,5,3,5,4,3,0,0
satisfied,Loyal Customer,64,Business travel,Business,470,4,3,5,1,2,5,3,4,4,5,3,4,5,3,0,15
neutral or dissatisfied,Disloyal Customer,53,Business travel,Eco,3576,2,2,3,3,4,4,3,4,3,2,4,2,4,3,20,10
satisfied,Disloyal Customer,23,Business travel,Business,1673,4,3,3,3,3,3,4,2,4,3,4,2,5,2,14,5
neutral or dissatisfied,Loyal Customer,34,Personal Travel,Eco,910,1,2,3,1,3,5,4,4,4,2,3,3,5,4,3,0
satisfied,Loyal Customer,25,Business travel,Eco,1155,3,3,3,2,4,3,4,4,3,3,4,3,4,3,0,9
satisfied,Loyal Customer,53,Business travel,Business,676,5,3,4,5,5,3,3,5,4,5,3,3,3,3,0,10
neutral or dissatisfied,Loyal Customer,20,Business travel,Business,2287,5,2,2,4,4,4,4,4,5,4,4,4,5,3,35,67
satisfied,Disloyal Customer,20,Business travel,Business,3544,5,1,5,3,3,4,3,3,4,3,4,5,3,4,0,12
neutral or dissatisfied,Loyal Customer,28,Personal Travel,Eco,252,2,3,3,4,3,3,5,3,4,1,3,3,4,4,9,13
satisfied,Loyal Customer,26,Personal Travel,Eco,2936,1,3,3,2,4,1,3,4,4,2,4,3,3,4,20,4
neutral or dissatisfied,Loyal Customer,39,Personal Travel,Eco,2485,2,5,3,4,3,4,3,2,3,2,4,3,3,4,0,0
satisfied,Loyal Customer,57,Business travel,Business,3508,5,5,2,3,5,4,4,5,4,4,4,4,5,5,0,0
neutral or dissatisfied,Loyal Customer,17,Personal Travel,Eco,2753,5,5,2,3,2,3,4,4,2,2,4,2,4,4,0,0
neutral or dissatisfied,Disloyal Customer,54,Business travel,Eco Plus,1828,4,1,3,2,4,4,4,3,3,3,4,1,3,2,0,0
satisfied,Disloyal Customer,47,Business travel,Business,1008,4,5,2,3,3,2,3,2,4,3,5,4,3,4,42,40
neutral or dissatisfied,Disloyal Customer,67,Personal Travel,Eco Plus,1495,2,1,2,3,2,1,3,1,0,3,2,1,2,2,85,91
satisfied,Loyal Customer,30,Personal Travel,Eco,1088,3,2,2,2,2,4,5,3,4,3,4,3,2,3,14,20
neutral or dissatisfied,Loyal Customer,45,Business travel,Eco,1360,4,1,3,4,4,4,2,2,5,4,4,5,3,5,0,12
satisfied,Loyal Customer,27,Personal Travel,Eco,553,2,3,4,5,2,4,3,5,3,4,3,2,4,2,0,0
neutral or dissatisfied,Disloyal Customer,47,Personal Travel,Eco,491,1,4,2,2,1,3,3,3,1,1,3,2,3,2,5,0
neutral or dissatisfied,Disloyal Customer,32,Personal Travel,Eco,924,1,3,2,2,1,3,2,5,3,2,2,1,2,2,0,0
neutral or dissatisfied,Disloyal Customer,50,Business travel,Business,4983,5,3,4,5,5,3,4,3,5,5,2,4,4,5,3,22
satisfied,Disloyal Customer,50,Business travel,Business,4809,4,4,3,2,5,3,3,4,4,4,4,5,1,3,0,0
satisfied,Loyal Customer,40,Business travel,Business,3105,4,2,5,4,3,3,3,5,5,5,3,3,5,4,0,0
satisfied,Loyal Customer,37,Business travel,Eco,852,2,4,3,5,1,3,3,4,4,3,5,2,3,3,0,0
satisfied,Loyal Customer,38,Business travel,Eco Plus,3326,2,4,5,4,4,3,4,4,2,4,4,4,3,3,0,4
satisfied,Disloyal Customer,35,Personal Travel,Eco,250,3,4,3,5,4,3,2,3,4,3,2,3,5,3,4,5
satisfied,Loyal Customer,50,Business travel,Business,1398,5,4,4,4,4,5,4,5,5,4,5,4,2,3,17,30
neutral or dissatisfied,Disloyal Customer,48,Personal Travel,Eco Plus,1398,2,2,1,5,2,2,1,3,2,1,1,1,1,3,96,105
neutral or dissatisfied,Loyal Customer,31,Personal Travel,Eco,673,3,4,1,2,4,2,3,4,3,3,4,3,3,3,23,14
satisfied,Loyal Customer,42,Personal Travel,Eco,865,3,4,3,5,4,4,4,4,5,2,3,3,3,2,0,3
satisfied,Loyal Customer,22,Business travel,Business,1108,4,4,3,4,5,3,3,4,5,4,4,5,4,5,0,14
